FID,INDIRIZZO,Name,ADDRESS
561,"CASTELLO,3611",CASA MANU,CA3611
562,"SANTA CROCE,312/A",U.A.A. COLOMBO F.,SC312A
563,"CASTELLO,1310",CASSANDRA FEDELE,CA1310
565,"CASTELLO,3283",CASA FURLANI,CA3283
566,"CASTELLO,2465",CA' DEA GRANA,CA2465
567,"CASTELLO,3177",CASA MATILDE,CA3177
568,"VIA ALDO MANUZIO,7/C",LIDO DI VENEZIA: CASA PER 5!,X_VIA ALDO MANUZIO7C
569,"CANNAREGIO,4100",STRUTTURA VELE,CN4100
570,"CANNAREGIO,1345/D",CANNAREGIO 1345D,CN1345D
571,"CANNAREGIO,3009",CANNAREGIO 3009-3011,CN3009
572,"CALLE DEL CRISTO,1",FMONTANARI,X_CALLE DEL CRISTO1
573,"CANNAREGIO,3557",GOOD WINE APARTMENTS 2,CN3557
576,"VIA MARCANTONIO BRAGADIN,1/L",CA' LIDO,X_VIA MARCANTONIO BRAGADIN1L
577,"CASTELLO,3331",CASTELLO 3331,CA3331
583,"CASTELLO,1199",RECREATE STUDIO - BIENNALE,CA1199
586,"CASTELLO,1441/A",CÀ ARCHI,CA1441A
588,"SANTA CROCE,34",S04,SC34
589,"CASTELLO,6472",KLAVIERHAUS,CA6472
590,"CANNAREGIO,1232",GHETTO 2016,CN1232
591,"CANNAREGIO,4937",CANNAREGIO 4937-4938,CN4937
592,"CASTELLO,2384",PRINCE APARTMENTS TRON,CA2384
593,"CASTELLO,2384",PRINCE APARTMENTS DOLFIN,CA2384
594,"SAN POLO,848",RIALTO MERCATO APARTMENT SUITE,SP848
600,"CASTELLO,5534",SUITE MALVASIA,CA5534
601,"SAN POLO,2308",SAN POLO SCALETER,SP2308
602,"CASTELLO,4808",CA' ROSA,CA4808
614,"VIA MARCO FOSCARINI,5",DI&BI LIDO,X_VIA MARCO FOSCARINI5
619,"CANNAREGIO,2977/D",CASA BAJA,CN2977D
620,"CANNAREGIO,1807",PEOCO,CN1807
622,"SAN MARCO,512",CA' SIMONNE,SM512
623,"SAN MARCO,512",CA' ORNELLA,SM512
624,"SAN MARCO,512",VERENA,SM512
627,"CANNAREGIO,936",WELE MUDIYANSELE JAYANTHA KUMAR ABEYBANDARA,CN936
629,"SAN MARTINO SINISTRA (BURANO),344",RESIDENZA 25 PESCATORE-,X_SAN MARTINO SINISTRA (BURANO)344
630,"SAN MARCO,2937",MOON LIGHT ATTIC,SM2937
633,"SAN MARCO,1861",FENICE SUITES A,SM1861
634,"CASTELLO,3593",BOUTIQUE APARTMENT CASTELLO,CA3593
635,"CASTELLO,3593",ALTANA 3593,CA3593
636,"CANNAREGIO,2572",CASA CANTARELLA,CN2572
637,"GRANVIALE SANTA MARIA ELISABETTA,55",CASA DEI NONNI,X_GRANVIALE SANTA MARIA ELISABETTA55
639,"VIA DELLE VILLE,1/E",GOLF 4,X_VIA DELLE VILLE1E
640,"VIA MARCANTONIO BRAGADIN,6/A",APPARTAMENTO LAVINIA,X_VIA MARCANTONIO BRAGADIN6A
643,"CANNAREGIO,6326",ZANNIPOLO,CN6326
645,"CALLE DE LA SCUOLA,2",LOCAZIONE TURISTICA,X_CALLE DE LA SCUOLA2
650,"PIAZZA DELLE ERBE,4",CA'ANGELINA,X_PIAZZA DELLE ERBE4
656,"CANNAREGIO,2765",CA' VITTORIA,CN2765
657,"CANNAREGIO,2765",LA CASA DI VENEZIA,CN2765
658,"CASTELLO,2534",MICHELE BRANDES 9,CA2534
659,"CASTELLO,2534",MICHELE BRANDES,CA2534
660,"CANNAREGIO,1844",ROSSELLA,CN1844
661,"CANNAREGIO,2976",HOLIDAY NO STRESS BAYVIEW APARTMENT,CN2976
662,"CANNAREGIO,3274",FIORI DI LOTO,CN3274
664,"CASTELLO,2895",APPARTAMENTO TRUFFI - LION OF VENICE,CA2895
665,"CASTELLO,3242",CURTOLO GINA2,CA3242
666,"CANNAREGIO,4887",SULLA LAGUNA,CN4887
667,"CASTELLO,1206",APPARTAMENTO GIARDINI BIENNALE,CA1206
668,"CASTELLO,3491/B",EMANUELA SENIGAGLIA,CA3491B
670,"CANNAREGIO,1561",CAROSA,CN1561
671,"CASTELLO,3740",VENEZIA UNICA,CA3740
672,"SAN POLO,2960",2960 CA FRARI,SP2960
673,"CASTELLO,4741",RIO UNO,CA4741
674,"CASTELLO,3554",GIANNINI SALVATORE,CA3554
675,"CASTELLO,2601",OHANITA,CA2601
676,"CASTELLO,1834",VENEZIA BIENNALE,CA1834
677,"CANNAREGIO,1356",CA' LUISA,CN1356
678,"CANNAREGIO,551",VENICE CANAL STAY,CN551
682,"CASTELLO,322",CA' MARAFONI,CA322
683,"CASTELLO,3424",APPARTAMENTI AI GRECI,CA3424
684,"CANNAREGIO,2549/A",FIORENZA CONTE,CN2549A
690,"VIA FRANCESCO ALGAROTTI,3",DOMUS NOSTRA,X_VIA FRANCESCO ALGAROTTI3
691,"CANNAREGIO,4931",4931 PRIMO PIANO,CN4931
692,"CANNAREGIO,4931",CASETTA ZEN 4931,CN4931
693,"CANNAREGIO,6309",MASK,CN6309
694,"CANNAREGIO,1616",APPARTAMENTO NEL CENTRO STORICO DI VENEZIA,CN1616
695,"CANNAREGIO,5725",RIALTO CHARME,CN5725
696,"CANNAREGIO,6222",WATERSDOOR,CN6222
697,"CANNAREGIO,2950/D",CASA TINTORIA,CN2950D
698,"CASTELLO,2037",APPARTAMENTO CORTE NOVA,CA2037
699,"CANNAREGIO,102",ORSARIA APPARTAMENTO,CN102
700,"CANNAREGIO,3871",CA' DELLA FONTANELLA,CN3871
701,"CASTELLO,1275",HIDEAWAY BIENNALE,CA1275
702,"CANNAREGIO,3143/G",CA' DEGLI ANTICHI GIARDINI B1,CN3143G
703,"CASTELLO,2022",DO DOGI LOFT,CA2022
704,"CASTELLO,2022",DO DOGI 2,CA2022
705,"CASTELLO,101",PALAZZETTO SPONZA D'AGNOLO,CA101
706,"CALLE DE LA SCUOLA,4",VENEZIA CASA DI PIERO,X_CALLE DE LA SCUOLA4
709,"VIA CRISTOFORO COLOMBO,20/G",APPARTAMENTO ELISABETTA,X_VIA CRISTOFORO COLOMBO20G
710,"RIO TERA' SAN SALVADOR,53",HOUSE ON THE WATER,X_RIO TERA' SAN SALVADOR53
712,"CANNAREGIO,5011",CANNAREGIO 5011,CN5011
715,"VIA FRANCESCO DUODO,10",CASA PETRA,X_VIA FRANCESCO DUODO10
716,"VIA SANDRO GALLO,77/A",CLOCK'S APARTMENT,X_VIA SANDRO GALLO77A
717,"CALLE DE LA MADONNA,18",2-BEDROOM HOME WITH FREE PARKING PREMISES,X_CALLE DE LA MADONNA18
721,"CANNAREGIO,3557",GOODWINE APARTMENTS 4,CN3557
722,"CANNAREGIO,3557",GOOD WINE APARTMENTS 3,CN3557
723,"CANNAREGIO,3557",GOOD WINE APARTMENTS 5,CN3557
724,"CANNAREGIO,566/E",CASA AUGUSTA,CN566E
725,"CASTELLO,1352/A",TRE RAGGI APARTMENT,CA1352A
726,"CASTELLO,3100/C",CALLE MALATIN,CA3100C
727,"CASTELLO,3044",APPARTAMENTO,CA3044
728,"CANNAREGIO,2940/A",PONTE DE LE CAPUZZINE,CN2940A
729,"CANNAREGIO,2940/A",RESIDENZA SANTA CHIARA,CN2940A
730,"CANNAREGIO,2940/A",BATEOHOUSE,CN2940A
731,"CANNAREGIO,3143/G",CA' DEGLI ANTICHI GIARDINI A3,CN3143G
734,"CANNAREGIO,3798",GOLD,CN3798
735,"CASTELLO,2806",CORTE SAN FRANCESCO,CA2806
736,"CASTELLO,3353",CA'DI AR,CA3353
737,"CANNAREGIO,5739/A",MAZHI AKASH SUB20,CN5739A
738,"CASTELLO,2950",ALLA VIGNA,CA2950
739,"CANNAREGIO,2180",COMEDIA,CN2180
744,"VIA MODONE E CORONE,7",CA MILLI,X_VIA MODONE E CORONE7
745,"DORSODURO,2404/B",PALAZZO DEI GUARDIANI A8,DD2404B
746,"DORSODURO,2404/B",PALAZZO DEI GUARDIANI A7,DD2404B
747,"DORSODURO,2404/B",PALAZZO DEI GUARDIANI A1,DD2404B
749,"GIUDECCA (VENEZIA),492/B",CASTELLI ROSSELLA,GD492B
750,"SAN POLO,3080",EXCLUSIVE GUEST HOUSE,SP3080
751,"SAN MARCO,3605",ROMANTIC ESCAPADE IN VENICE,SM3605
752,"SAN MARCO,3605",BREAKFAST AT SAN MAURIZIO'S,SM3605
755,"CANNAREGIO,3632",AL CANAL REGIO APARTMENT,CN3632
756,"CASTELLO,2819",SAN FRANCESCO DELLA VIGNA,CA2819
758,"CANNAREGIO,2940/A",CA' SAN GIROLAMO-CANAL GRANDE,CN2940A
759,"CANNAREGIO,2940/A",CA' SAN GIORLAMO-IL SESTIERE,CN2940A
760,"CALLE FRANCO PASSARELLA,6",NELLO SCHIAVONE,X_CALLE FRANCO PASSARELLA6
768,"SAN MARCO,3172",BEAUTYFUL VENICE,SM3172
769,"SAN MARCO,3174",CASA CANAL,SM3174
770,"CASTELLO,986/C",CIPREA,CA986C
772,"CASTELLO,6347",CASA S.S. GIOVANNI E PAOLO,CA6347
773,"DORSODURO,1828",CASA -FOSSA CAPRARA,DD1828
774,"SAN MARCO,3103",CA' SAN SAMUELE,SM3103
775,"CASTELLO,773",APT,CA773
776,"DORSODURO,795/A",DORSODURO 795/A,DD795A
778,"CANNAREGIO,719/B",CAMPIELLO GRANA,CN719B
779,"CASTELLO,2378",SUITE AI LEONI,CA2378
780,"CASTELLO,2790",CA ROSALBA,CA2790
781,"CANNAREGIO,6084",AMADI,CN6084
782,"CASTELLO,1710",CA' DEL REMO ANTICO,CA1710
783,"CANNAREGIO,1771",SOFIA RESIDENT,CN1771
784,"CANNAREGIO,2220/A",CA' MIRANDA,CN2220A
785,"CANNAREGIO,3446",FONTE,CN3446
786,"VIA MARCANTONIO BRAGADIN,24/B",VIA BRAGADIN 24/B,X_VIA MARCANTONIO BRAGADIN24B
788,"RIVA LONGA,23",CASA PRIVATA MURANO,X_RIVA LONGA23
789,"CANNAREGIO,4856/A",CÀ VENIER,CN4856A
790,"CANNAREGIO,181",LISTA SPAGNA1,CN181
792,"CASTELLO,632",MAGICALAGOON,CA632
796,"VIA LEPANTO,34",RESIDENZATEMPORANEA,X_VIA LEPANTO34
800,"CANNAREGIO,96/R",RICKY'S HOUSE VENICE,CN96R
801,"CASTELLO,4237",CA' AI SOSPIRI,CA4237
802,"SANTA CROCE,1271/A",LA PERLA,SC1271A
803,"SAN MARCO,3440",PALAZZO SAN SAMUELE,SM3440
805,"CASTELLO,5078",DIMORA SAN LORENZO,CA5078
807,"SAN MARCO,3838",SUITEDELUX3836,SM3838
808,"DORSODURO,1225",DORSODURO 1225,DD1225
810,"SAN MARCO,3926",PAOLA ERMINIA MARIA MARION,SM3926
811,"SANTA CROCE,384",SANTA CROCE 384,SC384
812,"DORSODURO,1860",LOCAZIONE TURISTICA DD 1860,DD1860
813,"SANTA CROCE,2042",CAMPIELLO DEL SPEZIER,SC2042
814,"CASTELLO,4383",AMALIA DE CILLIA,CA4383
815,"CASTELLO,4383",CA' AMALIA SAN MARCO VENICE APARTMENT,CA4383
816,"GIUDECCA (VENEZIA),937/F",ANGELINA DUE,GD937F
817,"SAN MARCO,1163",LUXURY SAN MARCO,SM1163
818,"SAN MARCO,1163",TOWER SUITE SAN MARCO,SM1163
819,"DORSODURO,2226/A",VICTORIA STUDIO,DD2226A
820,"CASTELLO,4008",SARA IN VENICE,CA4008
821,"CASTELLO,4008",LEONE MARCIANO,CA4008
822,"SAN MARCO,3478",VENICE MIRRORS,SM3478
825,"SAN MARCO,652",SPECCHIERI,SM652
826,"SAN MARCO,652",SAN MARCO,SM652
827,"CASTELLO,4915",CA LUNA,CA4915
828,"CASTELLO,5876",DESIGN APARTMEN SAN MARCO,CA5876
829,"PELLESTRINA,618",LA CASA DI ALICE,X_PELLESTRINA618
830,"SANTA CROCE,2271",ACQUARELLO,SC2271
831,"SANTA CROCE,2271",LOFT REGINA,SC2271
832,"SAN POLO,2652",SOPHISTICATED HIDEAWAY IN SAN POLO,SP2652
833,"DORSODURO,555",DORSODURO 555,DD555
834,"DORSODURO,555",SANTA MARIA,DD555
835,"DORSODURO,1057",DIMORA CONTARINI,DD1057
836,"DORSODURO,1057",APPARTAMENTO,DD1057
837,"SAN MARCO,3121",SAN MARCO'S LODGE,SM3121
838,"DORSODURO,462",CORTE VECCHIA,DD462
839,"SAN MARTINO SINISTRA (BURANO),536",CAMATI ACCOMODATION,X_SAN MARTINO SINISTRA (BURANO)536
840,"SANTA CROCE,864",CA RAGAZZO,SC864
841,"SANTA CROCE,2282/A",CA DEL MORO,SC2282A
842,"SANTA CROCE,2282/A",CHARMING OPEN SPACE DO TORRI,SC2282A
843,"SANTA CROCE,2282/A",CA DEGLI STUERI,SC2282A
844,"SAN MARCO,3524",CA' PESTRIN,SM3524
845,"SANTA CROCE,2011",CANAL VIEW BOUTIQUE APARTMENT,SC2011
846,"SAN MARCO,984",ROSA SALVA SUITES 1,SM984
847,"SAN MARCO,984",ROSA SALVA SUITES 2,SM984
848,"SAN MARCO,984",ROSA SALVA SUITES 3,SM984
849,"CASTELLO,6150",BISANZIO,CA6150
850,"SAN MARCO,3563/B",SAN MARCO GARDEN HOUSE,SM3563B
851,"SAN POLO,2476",WHITEFRARI,SP2476
852,"SANTA CROCE,2087",CA PUPPARIN,SC2087
853,"SANTA CROCE,2087",ROOFTOP RESIDENCE CANAL GRANDE,SC2087
854,"SAN POLO,3024",SANPOLO 3024 PIANO 3,SP3024
855,"SAN POLO,3024",SANPOLO 3024 PIANO 2,SP3024
856,"SAN POLO,2124",PALAZZINA SAN POLO,SP2124
857,"SAN POLO,2124",SANPOLO,SP2124
858,"SAN POLO,2124",SAN POLO CANAL VIEW,SP2124
859,"SANTA CROCE,757",SIMEONE I,SC757
860,"SANTA CROCE,753",SIMEONE II,SC753
861,"SANTA CROCE,852",MAD4VENICE,SC852
862,"SAN POLO,1843",RIALTO TOWER,SP1843
864,"SAN MARCO,1093/A",SIMONA SPARACO,SM1093A
865,"SANTA CROCE,1352",CA GIACOMO,SC1352
866,"SAN POLO,1502",PONTE STORTO,SP1502
867,"SANTA CROCE,764",PALAZZO GRADENIGO,SC764
868,"SANTA CROCE,764",PALAZZO GRADENIGO,SC764
869,"SANTA CROCE,764",CA' DEL DOGE GRADENIGO,SC764
870,"SANTA CROCE,764",DOMINI LOREDANA,SC764
871,"CASTELLO,6107",PAGANINI,CA6107
872,"DORSODURO,1373",LUXURY ZATTERE CANAL VIEW,DD1373
873,"DORSODURO,1373",LO SQUERO,DD1373
877,"SAN MARCO,1611",CA' DEL CARRO,SM1611
878,"DORSODURO,3855/A",APARTAMENTO CAFOSCARI,DD3855A
879,"SANTA CROCE,1898",IL POZZO MAGICO SRL,SC1898
880,"SANTA CROCE,1978/A",CASA AURORA,SC1978A
881,"SAN MARCO,1497",CA' FREZZERIA,SM1497
882,"SAN MARCO,1497",ALBERTO CARRARO,SM1497
883,"CASTELLO,4977",VENICE RAIMBOW SAN MARCO,CA4977
884,"CASTELLO,4977",VENICE RAINBOW SAN MARCO,CA4977
885,"SAN MARCO,1592",CASANOVA APARTMENT SAN MARCO,SM1592
886,"SAN MARCO,1592",CA'ROSINA,SM1592
887,"SANTA CROCE,56",CA ZACCARIA,SC56
888,"SAN POLO,3024/A",GARDEN VIEW,SP3024A
893,"VIA SEBASTIANO CABOTO,9",CA ADA,X_VIA SEBASTIANO CABOTO9
898,"VIA SMIRNE,9",CASA GIULIA,X_VIA SMIRNE9
899,"VIA SMIRNE,9",CA PAOLA,X_VIA SMIRNE9
900,"VIA SMIRNE,9",MARIA FRANCESCA LONGO,X_VIA SMIRNE9
905,"FONDAMENTA DEI VETRAI,9",SUSANNA SENT,X_FONDAMENTA DEI VETRAI9
911,"VIA MARCO POLO,9/A",MARIA BOTNER,X_VIA MARCO POLO9A
912,"VIA LAZZARO MOCENIGO,15",APPARTAMENTO MOCENIGO,X_VIA LAZZARO MOCENIGO15
913,"VIA ENRICO DANDOLO,43",ATTICO AL PARCO,X_VIA ENRICO DANDOLO43
914,"VIA DARDANELLI,11",APPARTAMENTO LIDO 1,X_VIA DARDANELLI11
915,"CALLE DEL CRISTO,18",NONSOLOVETRO2,X_CALLE DEL CRISTO18
916,"CALLE DEL CRISTO,18",NONSOLOVETRO1,X_CALLE DEL CRISTO18
931,"LUNGOMARE GUGLIELMO MARCONI,60/A",SOLARIUM,X_LUNGOMARE GUGLIELMO MARCONI60A
932,"VIA DARDANELLI,31",APPARTAMENTO,X_VIA DARDANELLI31
934,"VIA DEGLI ALBRIZZI,15",CA' GIOLITO,X_VIA DEGLI ALBRIZZI15
941,"VIA NEGROPONTE,2",CASA LINDAMATTEO,X_VIA NEGROPONTE2
944,"LUNGOMARE GUGLIELMO MARCONI,52",AQUAMAR,X_LUNGOMARE GUGLIELMO MARCONI52
948,"VIA ENRICO DANDOLO,29/C",VIA DANDOLO,X_VIA ENRICO DANDOLO29C
949,"VIA ENRICO DANDOLO,29/C",PHILLIPS,X_VIA ENRICO DANDOLO29C
951,"VIA DALMAZIA,2/B",CAISELLI UGO,X_VIA DALMAZIA2B
959,"VIA LORENZO MARCELLO,23",CA' LIBERTY,X_VIA LORENZO MARCELLO23
967,"CALLE GIOVANNI DELLA CASA,20",APPARTAMENTO IN MURANO PIANO TERRA,X_CALLE GIOVANNI DELLA CASA20
968,"VIALE BRESSAGIO,21",VENICE LAGOON SKYLINE,X_VIALE BRESSAGIO21
997,"VIA MARCANTONIO BRAGADIN,12",CASTELLETTI MARIA 2,X_VIA MARCANTONIO BRAGADIN12
1001,"DORSODURO,3360",CA' GRETA,DD3360
1002,"SAN MARCO,2909",CANALETTO FALIER,SM2909
1003,"DORSODURO,2636/E",CASA VALENTINA,DD2636E
1004,"SANTA CROCE,190/A",APPARTAMENTO,SC190A
1008,"VIA ANTONIOTTO USODIMARE,9",CINEFESTIVAL EMERALD SUITE,X_VIA ANTONIOTTO USODIMARE9
1009,"VIA ANTONIOTTO USODIMARE,9",CASA LILY SUL MARE DI VENEZIA,X_VIA ANTONIOTTO USODIMARE9
1011,"VIA GALLIPOLI,4",VILLA GALLIPOLI,X_VIA GALLIPOLI4
1013,"VIA PERASTO,3",CASA ROSSELLA,X_VIA PERASTO3
1015,"RIVIERA SAN NICOLO',17/A",CASA VITALE,X_RIVIERA SAN NICOLO'17A
1024,"RIVA LONGA,17/B",MORETTI FLAT,X_RIVA LONGA17B
1025,"RIVA LONGA,17/B",RIVALONGA17B,X_RIVA LONGA17B
1026,"VIA NICOLA JENSON,24","VIA JENSON, 24",X_VIA NICOLA JENSON24
1027,"VIA ENRICO DANDOLO,19/E",HOUSE OF COLORS,X_VIA ENRICO DANDOLO19E
1028,"LUNGOMARE GUGLIELMO MARCONI,51",CASA SAMARCANDA,X_LUNGOMARE GUGLIELMO MARCONI51
1029,"LUNGOMARE GUGLIELMO MARCONI,51",UN PASSO DAL MARE LALLA,X_LUNGOMARE GUGLIELMO MARCONI51
1040,"FONDAMENTA SAN MARTINO,6",PALAZZETTO ROSSO,X_FONDAMENTA SAN MARTINO6
1041,"VIA FAMAGOSTA,10",BERTONCELLO,X_VIA FAMAGOSTA10
1052,"VIA MARCANTONIO BRAGADIN,16/A",CA' DOMAME,X_VIA MARCANTONIO BRAGADIN16A
1063,"VIALE QUATTRO NOVEMBRE,73",APPARTAMENTO SANT'ELENA,X_VIALE QUATTRO NOVEMBRE73
1064,"VIALE QUATTRO NOVEMBRE,73",SANT'ELENA 73,X_VIALE QUATTRO NOVEMBRE73
1070,"VIA SANDRO GALLO,134/A",VIA SANDRO GALLO 134A,X_VIA SANDRO GALLO134A
1071,"VIA SANDRO GALLO,134/A",APPARTAMENTO CARBONI 134,X_VIA SANDRO GALLO134A
1077,"LUNGOMARE GABRIELE D'ANNUNZIO,4",CAMERA IN APPARTAMENTO,X_LUNGOMARE GABRIELE D'ANNUNZIO4
1080,"LUNGOMARE GUGLIELMO MARCONI,41",APPARTAMENTO SUB. 40,X_LUNGOMARE GUGLIELMO MARCONI41
1085,"CALLE VOLPI,39",MAISON VOLPI,X_CALLE VOLPI39
1086,"VIA FRANCESCO MOROSINI,5",CA LADO LIDO,X_VIA FRANCESCO MOROSINI5
1087,"VIA DOGE BEATO,11",DOGE BEATO APARTMENT,X_VIA DOGE BEATO11
1088,"VIA ENRICO DANDOLO,39",VILLA LIBERTY,X_VIA ENRICO DANDOLO39
1089,"VIA ENRICO DANDOLO,39",CA BONIVENTO,X_VIA ENRICO DANDOLO39
1091,"CASTELLO,2310",ANNALAURA 1,CA2310
1092,"CANNAREGIO,5915",TIEPOLO 2,CN5915
1093,"CASTELLO,2385",CA ARSENALE 1,CA2385
1094,"CASTELLO,2385",CA ARSENALE V,CA2385
1095,"CASTELLO,2385",CA' ARSENALE 2,CA2385
1096,"CASTELLO,3110",CA' ISABELLA,CA3110
1097,"CANNAREGIO,440/A",CAPARCO,CN440A
1098,"CANNAREGIO,440/A",LOVE HUT,CN440A
1099,"CANNAREGIO,440/A",MARCILEA PARISIENSIS TRUST,CN440A
1100,"CANNAREGIO,2200",CLAUDIA MODESTI,CN2200
1102,"CALLE SAN GIUSEPPE,18",YELLOW GARDEN HOUSE,X_CALLE SAN GIUSEPPE18
1103,"CAMPIELLO MONTE SAN MICHELE,4/A",CASA SANT'ELENA,X_CAMPIELLO MONTE SAN MICHELE4A
1104,"CANNAREGIO,1449/A",CA VENERE,CN1449A
1105,"CANNAREGIO,5236/A",CA' BOTTERI,CN5236A
1106,"CANNAREGIO,5159/A",APPARTMENTO,CN5159A
1107,"CASTELLO,2535",LOUIS JOSEPH DEL CAMPO JR,CA2535
1108,"CASTELLO,3313",SAMOSAMOS S.R.L. APP,CA3313
1109,"CANNAREGIO,4082",LAIS KANTOR CASERTA,CN4082
1110,"CASTELLO,3509",GOBESSO MICHELE,CA3509
1111,"CASTELLO,1744",CA' MELISSA,CA1744
1115,"RAMO DEI PESCATORI,1",CASA ALBERTI 2,X_RAMO DEI PESCATORI1
1120,"CASTELLO,3363",CA DRI,CA3363
1121,"CASTELLO,3623",CA DEL MAR,CA3623
1122,"CASTELLO,1642",D'ESTE,CA1642
1123,"CANNAREGIO,4360",MOMO HOME,CN4360
1124,"CANNAREGIO,3143/Q",SANT’ALVISE HOLIDAY HOME,CN3143Q
1128,"CANNAREGIO,1499",CA BRIANI,CN1499
1129,"CANNAREGIO,5915",CA' CORNER APARTMENT,CN5915
1130,"CASTELLO,1034",NICOLI,CA1034
1131,"VIA PAOLO MANUZIO,4",APPARTAMENTO LIDO,X_VIA PAOLO MANUZIO4
1132,"LUNGOMARE GUGLIELMO MARCONI,93",APPARTAMENTO,X_LUNGOMARE GUGLIELMO MARCONI93
1133,"CANNAREGIO,5639",APT ANTICO DOGE P1,CN5639
1138,"VIA CIPRO,16/D",UAA CASA CIPRO,X_VIA CIPRO16D
1140,"VIA ISOLA DI LEMNO,12",CA DELLE CONTESSE - ELENA,X_VIA ISOLA DI LEMNO12
1141,"VIA ISOLA DI LEMNO,12",CA DELLE CONTESSE - ADELE,X_VIA ISOLA DI LEMNO12
1144,"VIA MALAMOCCO,97/N",NICOLAO MODERN APARTMENT,X_VIA MALAMOCCO97N
1146,"CALLE MONTE PODGORA,3",CA' DELLE DAME,X_CALLE MONTE PODGORA3
1149,"VIA MARCANTONIO BRAGADIN,5/A",UAA GIUSTACCHINI,X_VIA MARCANTONIO BRAGADIN5A
1155,"RIVA DI CORINTO,13",BRICHETTI SILVIA,X_RIVA DI CORINTO13
1157,"VIA PIRANO,10",LINA FAVARO 1,X_VIA PIRANO10
1159,"RIVIERA SANTA MARIA ELISABETTA,11",BELLAVISTA SAN MARCO,X_RIVIERA SANTA MARIA ELISABETTA11
1160,"CANNAREGIO,4767",CA' CANCIANI,CN4767
1161,"CANNAREGIO,6398",CA' BIANCA,CN6398
1162,"CANNAREGIO,524",GRANDMA'S HOUSE,CN524
1163,"CASTELLO,3066",SANTA TERNITA,CA3066
1164,"CANNAREGIO,3606/A",MARCO ZANNIER,CN3606A
1165,"CANNAREGIO,3606/A",SECONDO PIANO SAN FELICE,CN3606A
1166,"CANNAREGIO,3606/A",APPARTAMENTO-2P,CN3606A
1167,"CANNAREGIO,1397",LOCAZIONE TURISTICA,CN1397
1169,"CASTELLO,1044",HOME VENICE APARTMENTS - BIENNALE 3,CA1044
1170,"CASTELLO,1044",HOME VENICE APARTMENTS - BIENNALE 1,CA1044
1173,"CASTELLO,3053",CÃ Â  TRINITÃ Â,CA3053
1174,"CANNAREGIO,529/C",S03,CN529C
1175,"CANNAREGIO,529/C",CÀ PIERY,CN529C
1176,"CASTELLO,1410",1410 CASTELLO,CA1410
1177,"CASTELLO,1865",LOCAZIONE TURISTICA,CA1865
1178,"CASTELLO,1865",CASA LOREDANA,CA1865
1179,"CANNAREGIO,2268",CZV,CN2268
1180,"CANNAREGIO,5359/A",CANNAREGIO 5359/A,CN5359A
1181,"RAMO DEI PESCATORI,1",CASA ALBERTI 3,X_RAMO DEI PESCATORI1
1182,"RAMO DEI PESCATORI,1",CASA ALBERTI,X_RAMO DEI PESCATORI1
1184,"VIA CRISTOFORO COLOMBO,4",CONDOMINIO MANDOLFO,X_VIA CRISTOFORO COLOMBO4
1193,"VIALE QUATTRO NOVEMBRE,61",SANTELENA,X_VIALE QUATTRO NOVEMBRE61
1211,"CANNAREGIO,6286",APPARTAMENTO BORIN,CN6286
1213,"CANNAREGIO,1441/A",GHETTO NOVISSIMO,CN1441A
1214,"CASTELLO,3953/B",VENICE RAINBOW APARTMENT SAN ZACCARIA,CA3953B
1215,"CASTELLO,3953/B",APPARTAMENTO 3953,CA3953B
1216,"CANNAREGIO,2343/A",CORTE SCONTA,CN2343A
1217,"CANNAREGIO,2343/A",CANNAREGIO2343A,CN2343A
1228,"VIA DELLE VILLE,1/R",GOLF SUD 9,X_VIA DELLE VILLE1R
1229,"VIA DELLE VILLE,1/R",GOLF SUD 7,X_VIA DELLE VILLE1R
1230,"VIA DELLE VILLE,1/R",GOLF SUD 15,X_VIA DELLE VILLE1R
1231,"CANNAREGIO,376",APPARTAMENTO 1,CN376
1232,"CANNAREGIO,376",ELMA APPARTAMENTO,CN376
1233,"CANNAREGIO,4575",LUNA - III PIANO,CN4575
1234,"CANNAREGIO,4575",SOLE - II PIANO,CN4575
1235,"CASTELLO,3231",APPARTAMENTO VENIER B,CA3231
1236,"CASTELLO,3231",APPARTAMENTO VENIER A,CA3231
1237,"CANNAREGIO,96/F",BERTOLD'S HOUSE VENICE,CN96F
1238,"CANNAREGIO,96/F",STAZIONE,CN96F
1239,"CANNAREGIO,96/F",VETTOR CRISTINA,CN96F
1240,"VIA DELLE VILLE,1/N",GOLF SUD 5,X_VIA DELLE VILLE1N
1241,"VIA DELLE VILLE,1/N",GOLF SUD 10,X_VIA DELLE VILLE1N
1242,"VIA DELLE VILLE,1/N",GOLF SUD 17,X_VIA DELLE VILLE1N
1243,"VIA DELLE VILLE,1/N",GOLF SUD 12,X_VIA DELLE VILLE1N
1244,"VIA DELLE VILLE,1/N",GOLF SUD 4,X_VIA DELLE VILLE1N
1245,"VIA DELLE VILLE,1/N",GOLF SUD 6,X_VIA DELLE VILLE1N
1247,"CANNAREGIO,2741/A",ALBERAGNO,CN2741A
1248,"CANNAREGIO,6092",CANNAREGIO 6092,CN6092
1252,"VIA DELLE VILLE,1/R",GOLF SUD 14,X_VIA DELLE VILLE1R
1253,"VIA DELLE VILLE,1/R",GOLF SUD 13,X_VIA DELLE VILLE1R
1254,"VIA DELLE VILLE,1/R",GOLF SUD 8,X_VIA DELLE VILLE1R
